,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report,Player
0,2023-08-12,Sat,Premier League,Matchweek 1,Home,D 1–1,Bournemouth,West Ham,Y,RB,74,2,0,1,1,0,2,3,66.7,1,0,0,0,0,2,1,0,Match Report,Max Aarons
1,2023-08-19,Sat,Premier League,Matchweek 2,Away,L 1–3,Bournemouth,Liverpool,Y,RB,90,2,2,2,0,0,2,4,50.0,2,3,2,1,0,2,4,0,Match Report,Max Aarons
2,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–2,Bournemouth,Tottenham,Y,RB,90,1,1,0,1,0,0,1,0.0,1,2,1,1,0,1,1,0,Match Report,Max Aarons
3,2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Bournemouth,Brentford,Y,RB,90,6,4,5,1,0,6,6,100.0,0,1,1,0,0,6,1,0,Match Report,Max Aarons
4,2023-09-17,Sun,Premier League,Matchweek 5,Home,D 0–0,Bournemouth,Chelsea,Y,RB,90,1,1,0,1,0,0,1,0.0,1,1,0,1,3,4,5,0,Match Report,Max Aarons
5,2023-09-24,Sun,Premier League,Matchweek 6,Away,L 1–3,Bournemouth,Brighton,Y,RB,90,3,1,3,0,0,2,2,100.0,0,1,0,1,0,3,1,0,Match Report,Max Aarons
6,2023-09-30,Sat,Premier League,Matchweek 7,Home,L 0–4,Bournemouth,Arsenal,Y,RB,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Match Report,Max Aarons
7,2023-10-07,Sat,Premier League,Matchweek 8,Away,L 0–3,Bournemouth,Everton,N,RB,5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Match Report,Max Aarons
8,2023-10-21,Sat,Premier League,Matchweek 9,Home,L 1–2,Bournemouth,Wolves,Y,RB,90,1,1,1,0,0,1,2,50.0,1,1,1,0,0,1,2,0,Match Report,Max Aarons
9,2023-10-28,Sat,Premier League,Matchweek 10,Home,W 2–1,Bournemouth,Burnley,Y,RB,84,3,1,1,1,1,1,2,50.0,1,0,0,0,1,4,2,0,Match Report,Max Aarons
10,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 1–6,Bournemouth,Manchester City,Y,RB,90,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,4,0,Match Report,Max Aarons
