Player,FPL ID,xPoints,AvgMin,Played,Opponent,GameWeek,Venue,Clean Sheet %,Goals Conceded
Bukayo Saka,19.0,7.48,82.75,8.0,15.0,26.0,Home,0.23559878129258066,1.445625
Martin Ødegaard,14.0,5.9,89.875,8.0,15.0,26.0,Home,0.23559878129258066,1.445625
Gabriel Dos Santos,5.0,5.62,88.75,8.0,15.0,26.0,Home,0.23559878129258066,1.445625
Gabriel Martinelli,12.0,5.09,66.75,8.0,15.0,26.0,Home,0.23559878129258066,1.445625
Erling Haaland,355.0,4.95,80.625,8.0,3.0,26.0,Away,0.2710878068678654,1.3053125
Alejandro Garnacho,382.0,4.94,89.0,8.0,10.0,26.0,Home,0.2493089222208947,1.3890624999999999
Bryan Mbeumo,108.0,4.84,82.0,8.0,19.0,26.0,Away,0.22721126761249413,1.481875
Kai Havertz,6.0,4.69,75.625,8.0,15.0,26.0,Home,0.23559878129258066,1.445625
David Datro Fofana,200.0,4.68,60.0,4.0,8.0,26.0,Away,0.2057820870384372,1.5809375
Gabriel Jesus,8.0,4.61,74.75,8.0,15.0,26.0,Home,0.23559878129258066,1.445625
Anthony Elanga,378.0,4.54,78.125,8.0,2.0,26.0,Away,0.1664392335234943,1.7931250000000003
Ollie Watkins,60.0,4.46,90.0,8.0,16.0,26.0,Home,0.21039890552699636,1.55875
Michael Olise,236.0,4.45,68.875,8.0,6.0,26.0,Home,0.2591592607213371,1.3503124999999998
James Trafford,596.0,4.41,90.0,8.0,8.0,26.0,Away,0.2057820870384372,1.5809375
Pascal Groß,134.0,4.19,90.0,8.0,9.0,26.0,Home,0.3057461794987118,1.1849999999999998
Hwang Hee-chan,557.0,4.18,83.875,8.0,17.0,26.0,Home,0.23471694034791188,1.4493749999999999
Leandro Trossard,26.0,4.15,44.625,8.0,15.0,26.0,Home,0.23559878129258066,1.445625
Max Kilman,563.0,4.14,90.0,8.0,17.0,26.0,Home,0.23471694034791188,1.4493749999999999
Mark Flekken,101.0,4.13,90.0,8.0,19.0,26.0,Away,0.22721126761249413,1.481875
Phil Foden,353.0,4.04,88.25,8.0,3.0,26.0,Away,0.2710878068678654,1.3053125
Ivan Toney,117.0,3.95,90.0,6.0,19.0,26.0,Away,0.22721126761249413,1.481875
Julián Álvarez,343.0,3.92,84.125,8.0,3.0,26.0,Away,0.2710878068678654,1.3053125
Lewis Dunk,129.0,3.91,90.0,8.0,9.0,26.0,Home,0.3057461794987118,1.1849999999999998
Jordan Pickford,263.0,3.86,90.0,8.0,5.0,26.0,Away,0.20418067813216814,1.58875
André Onana,597.0,3.82,90.0,8.0,10.0,26.0,Home,0.2493089222208947,1.3890624999999999
José Sá,569.0,3.8,90.0,8.0,17.0,26.0,Home,0.23471694034791188,1.4493749999999999
Alphonse Areola,524.0,3.79,84.25,8.0,4.0,26.0,Home,0.20967690094557973,1.5621875000000003
Jan Paul van Hecke,150.0,3.78,90.0,8.0,9.0,26.0,Home,0.3057461794987118,1.1849999999999998
Craig Dawson,551.0,3.74,87.375,8.0,17.0,26.0,Home,0.23471694034791188,1.4493749999999999
Jarrod Bowen,526.0,3.71,89.625,8.0,4.0,26.0,Home,0.20967690094557973,1.5621875000000003
Neto,77.0,3.62,90.0,8.0,13.0,26.0,Home,0.17778372420442265,1.7271875
Emiliano Martínez,49.0,3.59,90.0,8.0,16.0,26.0,Home,0.21039890552699636,1.55875
Bruno Fernandes,373.0,3.55,90.0,8.0,10.0,26.0,Home,0.2493089222208947,1.3890624999999999
David Raya,113.0,3.51,90.0,8.0,15.0,26.0,Home,0.23559878129258066,1.445625
Eberechi Eze,226.0,3.45,62.625,8.0,6.0,26.0,Home,0.2591592607213371,1.3503124999999998
Simon Adingra,122.0,3.44,82.0,8.0,9.0,26.0,Home,0.3057461794987118,1.1849999999999998
João Pedro,135.0,3.41,79.625,8.0,9.0,26.0,Home,0.3057461794987118,1.1849999999999998
Dominic Solanke,85.0,3.4,89.0,8.0,13.0,26.0,Home,0.17778372420442265,1.7271875
Matheus Cunha,590.0,3.4,79.125,8.0,17.0,26.0,Home,0.23471694034791188,1.4493749999999999
Harry Maguire,387.0,3.39,73.75,8.0,10.0,26.0,Home,0.2493089222208947,1.3890624999999999
Ben Mee,109.0,3.37,87.5,8.0,19.0,26.0,Away,0.22721126761249413,1.481875
Pedro Neto,567.0,3.36,64.25,8.0,17.0,26.0,Home,0.23471694034791188,1.4493749999999999
Lucas Paquetá,539.0,3.36,78.75,8.0,4.0,26.0,Home,0.20967690094557973,1.5621875000000003
Bernd Leno,275.0,3.33,90.0,8.0,14.0,26.0,Away,0.1451481984836237,1.9300000000000002
Jordan Ayew,221.0,3.32,83.75,8.0,6.0,26.0,Home,0.2591592607213371,1.3503124999999998
